,App Package Name,Reviews Content,Rating,Ranking,review_processed
16940,com.shopee.br,vocé e o melho aplicativo,5,Second,vocé melho aplicativo
16941,com.shopee.br,Ok produto chegou conforme o que estava no anúncio tudo certo e chegou com 4 dias antecipado,5,Second,ok produto chegou conform anúncio tudo certo chegou 4 dia antecipado
16942,com.shopee.br,Muitooooo bommm,4,Second,muitooooo bommm
16943,com.shopee.br,Muito 👍,5,Second,muito 👍
16944,com.shopee.br,Produto ótimo um cheirinho maravilhoso e chegou antes da data prevista.amei,5,Second,produto ótimo cheirinho maravilhoso chegou ant data prevista.amei
16945,com.shopee.br,"Pedido cancelado pelo fornecedor e até agora não estornou o valor da compra, 2 meses já.",1,Second,"pedido cancelado fornecedor agora estorn valor compra, 2 mese já."
16946,com.shopee.br,Ótima,5,Second,ótima
16947,com.shopee.br,Mais ou menos pq comprei um colar mais nunca chegou ao destino pq conta do endereço mais msm assim não devolveram o dinheiro,4,Second,mai meno pq comprei colar nunca chegou destino pq conta endereço msm assim devolveram dinheiro
16948,com.shopee.br,Shopee é uma maravilha 10,5,Second,shope maravilha 10
16949,com.shopee.br,"Ultimamente está péssimo. Lento, travando e fechando.",3,Second,"ultimament péssimo. lento, travando fechando."
16950,com.shopee.br,Ótimo aplicativo facilita muito a nossas compras,5,Second,ótimo aplicativo facilita compra
16951,com.shopee.br,Simplesmente amoooo,5,Second,simplesment amoooo
16952,com.shopee.br,Shpee é muito boa mas demora muito para o produto chegar.,4,Second,shpee boa demora produto chegar.
16953,com.shopee.br,Um pouco pesado!! Mas nada q um pouco de paciência nao resolva!!,5,Second,um pouco pesado!! ma nada q pouco paciência nao resolva!!
16954,com.shopee.br,"Estava muito contente e satisfeita com a shoppee até a última compra nao chegar em minhas mãos , a loja diz que enviou o produto mas acho que o problema está no entregador pois eles entregaram ja 2 pedidos( produtos) na mao de outra pessoa e outra pessoa assinou 🤨agora estou atrás do meu reembolso pois nao vou ficar no prejuízo. espero qhe vcs resolvam logo isso 🤔",2,Second,"estava content satisfeita shoppe última compra nao chegar mão , loja diz enviou produto acho problema entregador poi entregaram ja 2 pedidos( produtos) mao outra pessoa outra pessoa assin 🤨agora atrá reembolso poi nao vou ficar prejuízo. espero qhe vc resolvam logo 🤔"
16955,com.shopee.br,Amei,5,Second,amei
